State,Support for Building New Reactors,Support for Building New Reactors: National z-score,Risk Perception,Risk Perception: National z-score,Benefit Perception,Benefit Perception: National z-score
Maryland,0.403014217725276,-0.631178262128851,0.752582592582794,1.15766425388913,0.840050266829931,0.896004150388207
Iowa,0.404311398624421,-0.581881790382927,0.692183765393097,-0.919720213232207,0.823599069169226,0.123468646097859
Delaware,0.403045380709101,-0.629993982316632,0.728746633167193,0.337839529587999,0.834775079098447,0.648285418997437
Ohio,0.417874781792316,-0.0664356135572847,0.714995370316491,-0.13512759872446,0.827233754192338,0.294150640514179
Pennsylvania,0.434832829687694,0.578017237615464,0.718189097056536,-0.0252811227132186,0.829929172250638,0.420725385519894
Nebraska,0.437732229241277,0.688202461794764,0.67532671570958,-1.49950917277688,0.812208212894689,-0.411437144826193
Washington,0.404318398803123,-0.581615764178075,0.692541179015943,-0.907427168102298,0.816379446426388,-0.215559247886186
Alabama,0.441714112162104,0.839525056069439,0.738305408479969,0.666608353146412,0.836696373974253,0.738507938742405
Arkansas,0.450586525889692,1.17670138431218,0.710869159962309,-0.27704633616832,0.831330247898815,0.486518813131455
New Mexico,0.446015220320387,1.00297909470105,0.745913151672843,0.928272499191624,0.843747198132935,1.06960918191213
Texas,0.439848714174152,0.768634759065658,0.74977083408172,1.0609553655347,0.836145264888527,0.712628282790255
California,0.408249876352377,-0.432208713816524,0.753690911671579,1.1957842798364,0.811052560794466,-0.465705672652749
Kentucky,0.409442237776968,-0.386895672808082,0.713191836873915,-0.19715914029352,0.785747720644173,-1.65400137304343
Georgia,0.438094129881561,0.70195568981435,0.756684994318812,1.29876410699605,0.849268282423187,1.32887502530946
Wisconsin,0.406649923355696,-0.493011364971569,0.701138684824663,-0.611720680840128,0.829208850952064,0.386899655070237
Oregon,0.406969721166475,-0.480858161240411,0.697400761296869,-0.74028450628557,0.799299128720433,-1.01763774238548
Missouri,0.408643242029554,-0.417259727130398,0.718345507598925,-0.0199014680680673,0.82514461627599,0.196046341543111
Virginia,0.426353435953072,0.255776759100072,0.736283794617318,0.597076055381791,0.843913538013622,1.07742037391528
Tennessee,0.450182593161809,1.16135082039279,0.720762246365683,0.0632209336200744,0.834276907750021,0.624891678200189
Louisiana,0.446408748591135,1.01793426039379,0.734693938569724,0.542393830379991,0.825671711392477,0.22079832009343
New York,0.419582486234396,-0.00153810864113624,0.759434511437965,1.393332237226,0.842502024488485,1.01113679168351
Michigan,0.426063691325337,0.244765659673535,0.731827395493383,0.443800656667847,0.846853158973915,1.21546269811683
Idaho,0.445845049691242,0.99651213884533,0.696244882720728,-0.780040314662651,0.82524615770218,0.200814648295393
Florida,0.457881428439439,1.45392791275553,0.740259660994437,0.73382379436082,0.824224664074269,0.152846098452204
Illinois,0.434854324158629,0.578834087123363,0.748730397905214,1.02517013504808,0.857923911661059,1.73533667242717
Montana,0.406953081989777,-0.48149049610171,0.67669259663891,-1.45253044887522,0.773212136562765,-2.24266269543669
Minnesota,0.430564946865578,0.415825853904732,0.694357559513008,-0.844953759154571,0.826969528510552,0.281742807082567
Indiana,0.409805543737121,-0.373089038735971,0.729918153501572,0.378133327643277,0.822312907208983,0.0630714762961436
Massachusetts,0.396565625948956,-0.876242634038746,0.716927897706367,-0.0686593812306624,0.818871199619229,-0.0985484472685226
Kansas,0.427351251362712,0.293696511989908,0.710761467009258,-0.280750376102469,0.83886180499852,0.84019490298902
Nevada,0.431584642624296,0.454577120742121,0.739916939424196,0.722036074305758,0.809974957282447,-0.51630909920881
Vermont,0.348874325076378,-2.68864433340218,0.696775649270881,-0.761784890869521,0.807133360872994,-0.649748266401477
Connecticut,0.41251470114815,-0.270133543587894,0.72072049306814,0.0617848518979057,0.831045824829452,0.473162526017659
New Jersey,0.408095300200567,-0.438083036284023,0.739691603614215,0.714285772961826,0.847604725078811,1.25075566047907
District of Columbia,0.333216515718934,-3.28368451407503,0.806765321979525,3.02124945367279,0.826291358603907,0.249896473360862
North Carolina,0.453522052367667,1.28825953181214,0.73627695809195,0.596840916848992,0.833620830510966,0.594082799042574
Utah,0.426613453696138,0.265658154465138,0.698335851897429,-0.708122578987669,0.806630959716896,-0.673340635691984
North Dakota,0.406884252205169,-0.484106218808149,0.662842858926623,-1.92888456593196,0.765191920208194,-2.61928584554301
South Carolina,0.470793237148773,1.94461245309082,0.730960366193984,0.413979660418119,0.838673084138217,0.831332717512229
Mississippi,0.447277134978991,1.05093535149967,0.755517893196367,1.25862230530656,0.827760350732477,0.318879206305224
Colorado,0.406746751884507,-0.48933161233423,0.708346246738928,-0.363820549940483,0.826173551841453,0.244364359011598
South Dakota,0.426753540204341,0.270981830290298,0.657922059515878,-2.098132757285,0.782188711443033,-1.82112968945429
Oklahoma,0.43163854969742,0.456625739025728,0.705153742183888,-0.473624989570156,0.815767431114731,-0.244299013049493
Wyoming,0.410369985867586,-0.351638672364557,0.665551549335056,-1.8357206479796,0.789479491697306,-1.47876029382921
West Virginia,0.380118902782059,-1.50126372743031,0.722430963925706,0.120615557001012,0.767930977137765,-2.49066185293119
Maine,0.376039132602011,-1.65630630903418,0.687363713933263,-1.08550323418288,0.795055474811676,-1.2169164441584
New Hampshire,0.407789613732608,-0.449699969851886,0.686034694092071,-1.13121414121617,0.805612181179425,-0.721181686990322
Arizona,0.447874367010453,1.07363182504791,0.715386938461296,-0.121659827582417,0.815523362910225,-0.255760266955668
Rhode Island,0.395063425262382,-0.933330426305202,0.734517517360688,0.536325919853011,0.823206538896423,0.105035728415943
